Patch Names,label
MSB-09151-01-11_23185_27168.json,READER_STUDY
MSB-09151-01-11_6801_10784.json,READER_STUDY
MSB-09151-01-11_21137_6688.json,READER_STUDY
MSB-09151-01-11_23185_6688.json,READER_STUDY
Her2Pos_Case_66_3072_13472.json,READER_STUDY
Her2Pos_Case_66_19456_1184.json,READER_STUDY
Her2Pos_Case_66_25328_12291.json,READER_STUDY
Her2Pos_Case_66_27376_9219.json,READER_STUDY
MSB-09977-01-22_19206_21062.json,READER_STUDY
MSB-09977-01-22_29929_53329.json,READER_STUDY
MSB-09977-01-22_74872_30600.json,READER_STUDY
MSB-09977-01-22_76920_32648.json,READER_STUDY
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_3388_23913.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_14705_14563.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_20201_21147.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_5990_19005.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_19979_14514.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_10139_26490.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_11666_18773.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_9202_15252.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_16550_18877.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_13738_24405.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_23808_22528.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_24832_9216.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_27904_19456.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_27904_14336.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_21760_24576.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_25856_21504.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_22784_23552.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_23808_8192.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_27904_20480.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_19712_1024.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_7424_30720.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_18688_25600.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_13568_4096.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_14592_27648.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_11520_6144.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_1280_25600.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_22784_7168.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_1280_17408.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_2304_29696.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_10496_8192.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_22476_10598.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_11081_11654.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_14250_6954.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_2645_19046.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_19916_4403.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_24618_19413.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_4693_29354.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_24742_14647.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_17388_10279.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_15616_26624.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_12544_5120.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_1280_24576.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_20736_1024.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_7424_13312.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_5376_31744.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_1280_18432.json,LGG
TCGA-DB-5276-01A-01-BS1.e1f67e5f-07bf-478e-9bbc-78a00e2c4447_12544_28672.json,LGG
